Year,Exchange Rate (USD/IDR),Inflation Rate (Indo),Inflation Rate (US)
1967,149.58,106.00,2.77
1968,296.29,128.84,4.27
1969,326.00,15.48,5.46
1970,362.83,12.40,5.84
1971,391.88,4.23,4.29
1972,415.00,6.52,3.27
1973,415.00,31.04,6.18
1974,415.00,40.49,11.05
1975,415.00,19.17,9.14
1976,415.00,19.83,5.74
1977,415.00,11.05,6.50
1978,442.05,8.11,7.63
1979,623.06,16.23,11.25
1980,626.99,18.04,13.55
1981,631.76,12.27,10.33
1982,661.42,9.45,6.13
1983,909.26,11.80,3.21
1984,1025.94,10.46,4.30
1985,1110.58,4.72,3.55
1986,1282.56,5.82,1.90
1987,1643.85,9.28,3.66
1988,1685.70,8.05,4.08
1989,1770.06,6.42,4.83
1990,1842.81,7.82,5.40
1991,1950.32,9.42,4.23
1992,2029.92,7.52,3.03
1993,2087.10,9.67,2.95
1994,2160.75,8.53,2.61
1995,2248.61,9.42,2.81
1996,2342.30,7.97,2.93
1997,2909.38,6.23,2.34
1998,10013.62,58.45,1.55
1999,7855.15,20.48,2.19
2000,8421.78,3.69,3.38
2001,10260.85,11.50,2.83
2002,9311.19,11.90,1.59
2003,8577.13,6.76,2.27
2004,8938.85,6.06,2.68
2005,9704.74,10.45,3.39
2006,9159.32,13.11,3.23
2007,9141.00,6.41,2.85
2008,9698.96,10.23,3.84
2009,10389.94,4.39,-0.36
2010,9090.43,5.13,1.64
2011,8770.43,5.36,3.16
2012,9386.63,4.28,2.07
2013,10461.24,6.41,1.46
2014,11865.21,6.39,1.62
2015,13389.41,6.36,0.12
2016,13308.33,3.53,1.26
2017,13380.83,3.81,2.13
2018,14236.94,3.20,2.44
2019,14147.67,3.03,1.81
2020,14582.20,1.92,1.23
2021,14308.14,1.56,4.70
2022,14849.85,4.21,8.00
2023,15236.88,3.67,4.12
